employee_id,day,hours_worked,meetings_count,task_switches,break_minutes,output_score,burnout_risk_score,calculated_burnout_risk,burnout_level
1,51,9.4,6,14,41.1,42.6,74.1,48.725,Medium
1,52,7.9,4,14,32.9,39.7,65.3,39.675,Medium
1,53,8.2,5,17,46.0,45.9,64.3,38.4,Medium
1,54,6.9,2,12,46.4,49.8,38.2,12.600000000000007,Low
1,55,8.5,3,11,54.6,39.5,57.0,31.65,Medium
1,56,7.8,0,8,35.9,31.1,55.0,29.125,Low
1,57,7.9,6,16,51.0,39.6,68.7,42.85,Medium
1,58,6.3,4,4,48.1,36.0,42.4,16.974999999999998,Low
1,59,7.7,3,7,36.6,37.7,53.3,27.949999999999996,Low
1,60,7.3,1,6,40.6,34.0,47.7,21.95,Low
1,61,10.6,0,13,45.2,43.9,63.1,37.3,Medium
1,62,7.5,2,9,32.7,46.2,45.2,19.324999999999996,Low
1,63,10.3,0,7,42.8,39.1,58.4,33.10000000000001,Medium
1,64,9.5,2,10,38.6,31.6,71.1,45.75,Medium
1,65,7.5,3,13,35.9,38.7,59.4,33.725,Medium
1,66,7.3,3,8,51.9,47.5,38.6,13.225,Low
1,67,6.6,1,7,48.9,34.7,42.0,16.274999999999995,Low
1,68,7.3,2,10,47.5,36.9,50.5,25.025,Low
1,69,8.6,1,10,46.4,41.7,51.4,25.799999999999997,Low
1,70,7.4,2,10,46.2,32.1,56.3,30.75,Medium
1,71,9.1,2,3,30.8,33.3,60.0,34.5,Medium
1,72,9.2,5,18,45.4,36.4,81.2,55.349999999999994,Medium
1,73,8.9,3,6,56.6,38.4,53.9,28.150000000000006,Low
1,74,9.6,5,9,52.2,31.1,75.1,49.64999999999999,Medium
1,75,6.4,5,16,43.9,30.6,68.0,42.125,Medium
1,76,7.9,5,8,55.7,36.7,57.1,31.675,Medium
1,77,7.9,3,9,50.2,32.2,59.7,33.849999999999994,Medium
1,78,7.7,5,8,44.9,38.2,57.3,31.674999999999997,Medium
1,79,7.3,3,11,24.8,42.6,54.4,28.8,Low
1,80,9.1,4,9,35.4,32.7,72.2,46.74999999999999,Medium
1,81,8.4,2,8,52.0,37.3,53.4,27.500000000000007,Low
1,82,5.6,4,7,41.2,31.3,48.6,23.099999999999994,Low
1,83,5.1,4,12,42.6,28.3,55.1,29.25,Low
1,84,8.2,3,12,42.1,32.8,66.5,40.975,Medium
1,85,11.5,2,10,34.1,37.9,78.0,52.575,Medium
1,86,5.9,1,9,33.9,40.1,38.7,13.025000000000002,Low
1,87,9.5,0,7,52.9,31.5,59.1,33.375,Medium
1,88,8.2,2,5,48.4,32.9,53.6,27.699999999999996,Low
1,89,8.0,2,15,51.9,22.0,75.0,49.525,Medium
1,90,10.5,4,11,32.3,38.8,78.2,52.425,Medium
1,91,5.9,3,14,56.0,30.2,54.6,28.900000000000002,Low
1,92,8.6,1,8,31.5,33.0,61.2,35.625,Medium
1,93,8.6,3,5,40.8,31.0,62.1,36.4,Medium
1,94,6.4,3,14,55.5,33.7,54.0,28.525,Low
1,95,6.2,1,5,31.8,25.3,50.7,24.950000000000003,Low
1,96,6.7,3,11,45.9,28.9,59.5,33.625,Medium
1,97,7.4,0,8,47.5,27.6,53.0,27.325000000000003,Low
1,98,7.7,3,10,29.4,25.3,71.4,46.050000000000004,Medium
1,99,9.0,3,9,46.0,32.3,67.3,41.400000000000006,Medium
1,100,8.6,6,16,45.1,27.7,86.0,60.425,High
1,101,8.8,1,12,31.4,26.1,74.5,48.95,Medium
1,102,9.3,4,11,33.2,32.4,76.9,51.400000000000006,Medium
1,103,8.2,3,11,42.5,29.2,68.5,43.175,Medium
1,104,8.5,5,9,34.4,29.3,75.1,49.3,Medium
1,105,8.1,2,2,34.8,24.8,60.4,34.7,Medium
1,106,8.8,4,5,59.6,21.3,70.4,45.10000000000001,Medium
1,107,9.9,2,7,54.1,21.1,76.4,50.875,Medium
1,108,9.9,2,6,47.4,29.2,68.8,43.150000000000006,Medium
1,109,8.9,2,11,37.9,20.6,80.3,54.625,Medium
1,110,8.0,6,9,47.9,18.6,82.0,56.125,Medium
1,111,7.5,2,14,40.7,35.6,60.0,34.425,Medium
1,112,7.9,4,11,43.9,26.2,71.9,46.525,Medium
1,113,9.1,4,14,47.4,21.5,87.2,61.449999999999996,High
1,114,8.7,2,10,47.0,14.6,81.5,55.849999999999994,Medium
1,115,8.6,4,13,41.1,21.2,84.4,59.025,Medium
1,116,8.9,4,4,37.4,22.2,74.4,49.05,Medium
1,117,6.4,1,6,48.0,20.3,53.7,28.400000000000006,Low
1,118,6.1,5,9,45.4,25.6,61.4,35.849999999999994,Medium
1,119,9.9,2,9,50.6,12.7,88.3,62.75,High
1,120,7.7,4,9,44.0,19.9,74.7,49.0,Medium
1,121,8.9,5,11,38.1,14.5,93.6,68.17500000000001,High
1,122,8.5,2,7,40.9,15.9,76.5,50.975,Medium
1,123,9.6,2,4,34.5,31.4,65.2,39.775,Medium
1,124,8.0,4,10,39.6,12.9,85.6,60.2,High
1,125,10.4,1,8,46.6,17.1,84.0,58.550000000000004,Medium
1,126,7.8,0,4,41.1,12.7,66.4,41.025,Medium
1,127,9.8,1,5,44.4,26.7,67.4,42.0,Medium
1,128,9.0,5,15,37.7,23.9,90.3,64.675,High
1,129,9.1,2,7,56.7,15.4,76.6,51.125,Medium
1,130,9.1,3,11,53.0,18.8,81.9,56.35,Medium
1,131,8.6,2,10,40.0,21.0,76.5,50.599999999999994,Medium
1,132,9.6,4,14,52.5,13.7,96.9,70.975,High
1,133,9.9,5,11,38.6,12.5,100.0,76.05000000000001,High
1,134,9.1,3,20,38.6,21.2,94.8,69.25,High
1,135,9.3,3,6,35.8,10.0,89.6,64.15,High
1,136,10.0,3,7,39.3,10.0,94.5,68.775,High
1,137,9.8,3,6,34.6,12.7,90.4,64.75,High
1,138,11.1,5,8,44.3,14.3,100.0,76.125,High
1,139,9.5,2,18,37.8,14.4,99.3,73.55000000000001,High
1,140,9.2,5,12,40.5,10.1,100.0,75.07499999999999,High
1,141,9.9,5,11,36.9,14.0,100.0,74.975,High
1,142,9.2,3,11,46.2,11.4,91.6,66.05,High
1,143,9.1,5,9,49.6,12.9,90.8,65.5,High
1,144,7.4,0,8,50.8,10.0,69.8,44.1,Medium
1,145,7.5,2,12,20.7,10.0,87.9,62.425,High
1,146,7.8,3,8,49.4,10.0,80.2,54.35,Medium
1,147,11.5,4,7,43.6,14.8,99.8,74.4,High
1,148,9.0,2,16,37.4,10.0,98.1,72.45,High
1,149,7.6,3,11,29.7,10.0,87.8,61.974999999999994,High
1,150,6.8,1,12,52.3,11.1,72.2,46.725,Medium
1,151,8.9,5,11,29.9,10.0,100.0,74.725,High
1,152,9.2,3,15,43.3,10.0,98.8,73.375,High
1,153,9.7,2,11,32.8,10.0,96.7,71.3,High
1,154,9.1,3,11,32.7,10.0,95.7,70.225,High
1,155,8.6,3,9,57.7,11.2,82.8,57.175,Medium
1,156,10.7,1,7,31.8,10.0,95.2,69.85,High
1,157,8.8,2,10,30.8,10.0,90.5,65.10000000000001,High
1,158,11.3,4,10,31.2,10.0,100.0,85.0,High
1,159,9.4,2,10,37.4,14.9,87.7,62.150000000000006,High
1,160,8.4,4,9,46.4,10.0,87.9,62.5,High
1,161,11.5,2,13,39.7,10.0,100.0,82.97500000000001,High
1,162,7.7,1,16,29.7,10.0,89.5,64.075,High
1,163,11.3,5,16,27.4,10.0,100.0,96.25,High
1,164,10.1,5,9,28.0,11.9,100.0,77.9,High
1,165,8.8,4,11,37.6,10.0,95.4,69.7,High
1,166,7.2,2,4,40.2,10.0,70.8,45.35,Medium
1,167,6.6,2,11,30.9,12.0,76.8,51.175,Medium
1,168,10.2,1,13,37.2,10.0,99.1,73.3,High
1,169,8.0,1,13,33.5,10.0,86.8,61.025000000000006,High
1,170,7.0,2,14,31.8,10.0,84.8,59.25,Medium
1,171,10.2,2,9,33.2,10.0,97.4,71.6,High
1,172,9.3,2,10,20.0,13.0,93.2,67.80000000000001,High
1,173,7.4,3,9,35.3,10.0,82.1,56.775000000000006,Medium
1,174,9.0,5,14,34.8,10.0,100.0,78.0,High
1,175,10.5,3,10,45.1,10.0,99.8,74.225,High
1,176,10.9,1,5,28.9,10.0,94.6,69.17500000000001,High
1,177,7.6,3,5,24.6,10.0,81.2,55.449999999999996,Medium
1,178,9.9,0,8,23.8,10.0,91.3,65.85000000000001,High
1,179,8.4,4,11,33.1,10.0,94.2,68.42500000000001,High
1,180,9.5,2,16,26.6,10.0,100.0,78.15,High
2,1,8.7,1,7,51.1,53.0,36.7,10.024999999999995,Low
2,2,9.1,6,13,51.3,52.8,59.4,32.875,Medium
2,3,8.5,5,11,44.5,61.8,43.4,16.875000000000004,Low
2,4,5.9,4,10,56.3,54.0,28.9,2.325000000000003,Low
2,5,9.6,4,9,46.2,57.7,48.5,22.049999999999994,Low
2,6,8.0,1,12,48.5,60.1,32.7,5.875,Low
2,7,7.0,4,11,45.9,66.1,27.1,0.7250000000000068,Low
2,8,7.1,0,11,44.9,70.1,14.3,0.0,Low
2,9,7.4,6,13,50.7,62.6,39.4,13.025000000000002,Low
2,10,7.3,4,8,48.5,56.1,34.4,7.974999999999998,Low
2,11,9.9,6,9,54.1,62.3,48.6,22.275000000000006,Low
2,12,5.7,2,8,50.1,47.2,28.7,1.8749999999999982,Low
2,13,8.4,4,13,47.7,50.1,54.1,27.275000000000002,Low
2,14,8.0,2,9,44.0,57.7,34.6,8.0,Low
2,15,6.9,3,3,51.2,50.6,27.8,1.4000000000000004,Low
2,16,7.1,3,9,48.5,50.9,37.2,10.775,Low
2,17,5.2,2,7,55.7,48.8,21.0,0.0,Low
2,18,8.8,5,6,53.6,51.8,46.3,19.900000000000006,Low
2,19,9.3,3,12,69.7,53.3,46.9,20.175000000000008,Low
2,20,7.1,4,10,53.3,63.6,27.2,0.6749999999999972,Low
2,21,8.1,2,13,42.4,49.5,49.2,22.4,Low
2,22,7.5,3,14,50.7,52.5,44.0,17.525,Low
2,23,8.0,3,11,42.2,58.9,39.1,12.350000000000001,Low
2,24,7.4,3,13,57.5,54.7,38.5,11.725000000000001,Low
2,25,9.0,3,8,46.4,50.3,48.7,22.0,Low
2,26,8.7,2,7,40.2,53.5,41.4,14.749999999999996,Low
2,27,10.6,3,19,39.2,45.7,78.9,52.3,Medium
2,28,8.6,3,11,52.3,52.3,46.9,20.025000000000002,Low
2,29,8.4,5,10,44.8,39.7,63.4,37.0,Medium
2,30,7.4,3,5,44.4,45.4,40.6,13.900000000000004,Low
2,31,10.1,6,6,44.8,55.6,55.0,28.599999999999998,Low
2,32,6.8,1,14,43.3,53.2,36.1,9.474999999999996,Low
2,33,9.8,2,13,55.4,51.0,54.4,27.85,Low
2,34,7.9,2,9,48.3,54.2,36.2,9.825,Low
2,35,8.5,1,15,46.6,46.2,53.6,27.15,Low
2,36,9.1,3,8,52.3,46.1,51.7,25.325,Low
2,37,8.6,2,8,41.8,42.4,52.6,26.150000000000002,Low
2,38,6.9,1,12,46.0,46.5,40.1,13.500000000000004,Low
2,39,8.3,2,5,56.0,48.3,37.3,11.000000000000007,Low
2,40,9.0,5,9,53.8,47.8,55.2,28.950000000000006,Low
2,41,10.7,4,5,37.7,57.2,52.8,26.074999999999992,Low
2,42,8.0,5,7,41.6,45.8,51.9,25.400000000000006,Low
2,43,7.7,3,11,40.9,46.1,50.2,23.674999999999997,Low
2,44,6.5,0,2,55.0,42.4,23.7,0.0,Low
2,45,8.8,3,11,68.1,45.5,50.5,24.075000000000006,Low
2,46,5.6,4,8,31.7,36.7,48.0,21.374999999999996,Low
2,47,8.5,5,11,50.2,52.4,51.7,24.85,Low
2,48,9.3,1,10,44.3,39.1,59.7,33.125,Medium
2,49,8.1,1,16,46.5,38.2,60.4,34.074999999999996,Medium
2,50,9.9,1,12,36.7,43.9,63.2,36.425000000000004,Medium
2,51,8.2,3,6,44.1,49.3,42.7,16.174999999999997,Low
2,52,7.2,5,8,56.8,41.4,49.1,22.500000000000004,Low
2,53,8.6,4,11,47.7,37.4,65.1,38.575,Medium
2,54,10.0,2,15,56.0,49.0,60.3,33.5,Medium
2,55,7.6,4,9,43.7,41.4,53.4,26.974999999999998,Low
2,56,6.9,0,9,44.6,39.5,40.9,14.450000000000003,Low
2,57,7.9,2,17,58.0,42.2,56.7,29.8,Low
2,58,9.3,5,8,46.6,34.8,71.2,44.25000000000001,Medium
2,59,10.2,3,7,47.1,34.0,70.3,44.025,Medium
2,60,7.2,4,9,24.8,38.6,58.9,32.1,Medium
2,61,9.6,2,10,60.6,41.0,58.0,31.449999999999996,Medium
2,62,10.4,3,13,43.8,33.5,81.0,54.35000000000001,Medium
2,63,8.3,4,13,47.9,28.3,74.8,48.42500000000001,Medium
2,64,12.1,8,9,43.6,43.7,88.0,61.699999999999996,High
2,65,11.1,1,10,46.1,43.1,66.0,39.474999999999994,Medium
2,66,9.6,1,9,37.3,34.6,66.6,39.875,Medium
2,67,7.7,0,12,51.3,41.7,45.7,19.275,Low
2,68,9.2,4,10,31.2,29.2,79.9,53.199999999999996,Medium
2,69,8.1,3,17,39.9,34.7,72.0,45.525,Medium
2,70,8.1,3,4,36.2,32.8,57.7,31.45,Medium
2,71,9.4,5,11,39.0,32.1,79.8,53.35,Medium
2,72,8.7,5,12,50.7,38.8,67.6,40.825,Medium
2,73,8.6,3,10,54.9,37.3,59.7,33.075,Medium
2,74,7.2,1,8,38.8,35.4,49.6,23.000000000000004,Low
2,75,9.5,2,7,35.5,31.7,69.0,42.525000000000006,Medium
2,76,8.0,3,9,46.8,34.2,59.8,33.3,Medium
2,77,8.7,4,12,38.9,35.3,71.1,44.775,Medium
2,78,8.0,1,9,20.8,34.1,61.6,34.9,Medium
2,79,6.6,2,13,41.7,35.3,54.5,27.775000000000002,Low
2,80,8.7,4,12,37.4,31.2,75.9,49.25,Medium
2,81,9.9,4,15,49.7,30.3,84.8,58.175000000000004,Medium
2,82,8.2,2,14,31.0,27.0,76.1,49.64999999999999,Medium
2,83,8.1,3,10,22.0,37.6,64.7,38.0,Medium
2,84,7.5,3,13,50.8,28.3,67.1,40.400000000000006,Medium
2,85,5.8,1,8,45.0,35.0,40.0,13.45,Low
2,86,9.2,3,7,56.2,30.8,65.6,38.949999999999996,Medium
2,87,7.6,6,9,42.4,29.1,70.9,44.599999999999994,Medium
2,88,8.0,3,13,55.3,25.6,71.7,44.975,Medium
2,89,7.4,5,6,32.5,26.2,69.2,42.375,Medium
2,90,10.9,3,10,41.0,28.2,86.1,59.45,Medium
2,91,8.2,2,6,53.4,31.9,55.3,28.75,Low
2,92,8.9,2,11,58.5,22.5,73.9,47.575,Medium
2,93,8.7,8,6,37.0,24.2,84.9,58.55,Medium
2,94,9.4,3,13,47.1,27.6,80.1,53.425000000000004,Medium
2,95,9.2,3,5,31.9,28.2,71.5,45.025,Medium
2,96,7.9,2,9,36.8,34.6,58.6,32.3,Medium
2,97,10.1,5,11,37.1,21.6,95.4,68.525,High
2,98,9.3,2,10,43.5,26.4,75.3,48.525000000000006,Medium
2,99,6.6,4,15,57.6,26.4,66.9,40.3,Medium
2,100,10.3,3,8,20.8,27.7,85.2,58.8,Medium
2,101,9.0,4,14,44.8,23.5,86.0,59.5,Medium
2,102,6.5,0,6,36.1,26.2,50.0,23.574999999999996,Low
2,103,7.2,1,7,32.7,29.0,56.0,29.625,Low
2,104,9.0,2,7,53.0,16.7,76.9,50.15,Medium
2,105,7.8,4,17,43.1,28.3,78.2,51.825,Medium
2,106,6.7,3,10,46.0,23.8,63.9,37.400000000000006,Medium
2,107,9.1,6,13,48.2,17.8,95.4,68.65,High
2,108,7.0,7,12,40.5,26.3,77.4,50.675000000000004,Medium
2,109,9.4,3,10,32.9,22.5,84.9,58.175000000000004,Medium
2,110,8.8,3,14,31.9,18.3,91.0,64.22500000000001,High
2,111,9.0,6,12,47.2,14.1,97.0,70.7,High
2,112,9.0,3,12,36.4,14.1,92.5,65.9,High
2,113,7.2,1,12,50.5,20.5,66.6,40.175000000000004,Medium
2,114,6.9,2,8,29.9,22.4,65.7,38.925000000000004,Medium
2,115,10.3,3,8,35.5,12.9,96.7,69.92500000000001,High
2,116,8.4,4,8,53.7,28.0,67.8,41.375,Medium
2,117,7.0,0,18,46.9,26.9,65.2,38.775000000000006,Medium
2,118,9.8,3,5,38.4,22.1,79.4,53.1,Medium
2,119,10.5,2,11,45.9,23.2,86.5,59.62499999999999,Medium
2,120,8.5,3,21,39.8,19.1,95.1,68.75,High
2,121,8.8,3,12,37.0,28.4,77.0,50.25000000000001,Medium
2,122,10.2,3,7,33.6,15.9,92.2,65.5,High
2,123,7.5,1,12,33.1,16.1,77.1,50.725,Medium
2,124,8.9,7,12,33.6,18.9,97.6,71.2,High
2,125,9.4,3,13,37.9,11.6,98.2,71.725,High
2,126,9.4,5,13,36.4,17.8,97.5,70.9,High
2,127,8.6,1,16,24.1,15.2,92.3,65.675,High
2,128,10.3,2,6,43.7,12.1,90.2,63.575,High
2,129,8.7,2,8,40.6,31.7,64.6,37.74999999999999,Medium
2,130,10.1,4,8,44.8,16.7,91.6,65.1,High
2,131,9.9,4,9,22.0,18.7,95.3,68.9,High
2,132,7.5,2,5,39.9,24.7,60.3,33.824999999999996,Medium
2,133,8.3,1,7,42.3,10.0,79.2,52.825,Medium
2,134,9.3,1,7,39.7,17.6,78.7,51.875,Medium
2,135,6.1,4,10,50.1,16.6,69.1,42.474999999999994,Medium
2,136,9.7,2,5,42.1,10.6,87.3,60.574999999999996,High
2,137,8.1,3,4,28.3,24.5,68.1,41.724999999999994,Medium
2,138,9.8,2,12,41.5,15.9,91.5,65.125,High
2,139,8.6,3,10,48.2,19.9,78.6,52.15,Medium
2,140,8.1,2,14,42.3,13.6,86.2,59.625,Medium
2,141,8.9,1,13,33.8,10.0,92.8,66.35000000000001,High
2,142,7.8,2,9,45.3,19.0,71.8,45.175,Medium
2,143,9.4,1,10,29.0,14.6,88.8,62.05,High
2,144,10.4,4,12,32.2,14.6,100.0,77.35,High
2,145,8.8,8,10,37.0,10.0,100.0,78.55000000000001,High
2,146,7.9,2,9,26.9,11.5,84.4,57.875,Medium
2,147,8.9,4,12,33.9,11.9,97.5,70.625,High
2,148,9.3,2,12,25.5,13.8,95.1,68.22500000000001,High
2,149,9.9,3,12,41.9,10.0,100.0,74.025,High
2,150,8.6,1,14,33.2,10.3,92.3,65.7,High
2,151,7.2,7,11,46.7,15.5,86.5,59.825,Medium
2,152,7.7,4,9,37.0,10.0,87.3,60.650000000000006,High
2,153,9.1,2,11,48.7,14.4,85.9,59.325,Medium
2,154,11.1,7,9,42.8,10.0,100.0,87.1,High
2,155,8.5,6,11,41.6,18.1,90.1,63.8,High
2,156,8.1,3,10,45.1,14.7,81.7,55.12499999999999,Medium
2,157,7.8,3,9,33.0,10.0,86.5,59.75,Medium
2,158,9.1,0,13,43.6,10.0,89.4,62.6,High
2,159,7.5,2,8,61.2,15.8,68.2,41.300000000000004,Medium
2,160,10.6,1,5,27.6,10.0,94.4,67.69999999999999,High
2,161,9.5,3,15,30.1,10.0,100.0,78.475,High
2,162,9.3,2,16,31.2,10.0,100.0,75.80000000000001,High
2,163,7.9,2,6,30.8,10.0,81.4,54.5,Medium
2,164,9.3,3,7,30.2,10.0,93.6,66.85000000000001,High
2,165,8.2,2,8,37.7,10.0,83.8,57.175,Medium
2,166,8.6,3,10,24.8,10.0,94.3,67.9,High
2,167,7.7,3,9,35.9,10.0,85.3,58.425000000000004,Medium
2,168,10.7,8,7,35.6,12.5,100.0,83.9,High
2,169,10.3,3,9,35.4,10.0,100.0,74.15,High
2,170,8.4,4,11,19.1,10.0,98.6,71.92500000000001,High
2,171,7.7,2,7,39.0,10.0,79.2,52.55,Medium
2,172,9.8,4,13,36.6,10.0,100.0,78.55000000000001,High
2,173,9.3,2,7,39.3,10.0,88.5,62.075,High
2,174,10.3,3,5,28.0,10.0,97.2,70.80000000000001,High
2,175,9.1,3,10,33.9,10.0,95.5,68.625,High
2,176,10.5,2,7,54.6,10.0,91.8,65.45,High
2,177,8.8,1,9,42.3,10.0,85.2,58.42500000000001,Medium
2,178,8.4,0,12,23.0,10.0,89.1,62.25,High
2,179,8.3,3,13,26.0,10.0,96.4,69.7,High
2,180,11.0,2,10,29.4,10.0,100.0,78.65,High
3,1,8.1,4,14,51.9,54.9,41.5,20.924999999999997,Low
3,2,6.8,1,12,41.1,52.9,28.3,7.725000000000001,Low
3,3,7.9,4,9,43.4,60.6,30.0,9.65,Low
3,4,6.6,3,7,59.3,62.6,11.5,0.0,Low
3,5,8.6,3,12,61.8,63.0,28.6,8.25,Low
3,6,7.7,4,7,42.8,48.6,38.7,18.0,Low
3,7,8.3,2,11,63.1,62.2,23.6,3.1250000000000018,Low
3,8,8.2,6,15,53.1,59.9,42.8,22.525,Low
3,9,8.3,3,4,42.0,59.1,25.1,4.900000000000002,Low
3,10,10.5,1,11,48.6,58.9,41.4,20.75,Low
3,11,7.5,1,10,47.9,49.3,31.9,11.225000000000003,Low
3,12,8.8,5,9,40.4,52.8,46.8,26.10000000000001,Low
3,13,8.0,3,9,42.1,57.7,31.3,10.975,Low
3,14,7.8,3,9,50.1,55.6,30.6,9.874999999999998,Low
3,15,10.1,1,16,52.7,53.9,49.5,28.825,Low
3,16,7.3,5,7,40.1,45.7,42.2,21.674999999999997,Low
3,17,9.5,1,7,58.9,48.3,37.8,17.575000000000003,Low
3,18,7.7,4,18,50.3,57.5,42.2,21.525000000000002,Low
3,19,6.6,6,14,62.0,52.5,37.0,16.799999999999997,Low
3,20,9.5,4,10,33.8,57.1,46.8,26.45,Low
3,21,8.0,6,12,51.6,55.2,42.8,22.5,Low
3,22,6.7,2,9,45.8,46.6,31.4,10.850000000000001,Low
3,23,8.6,1,5,50.1,57.6,22.8,2.474999999999996,Low
3,24,10.1,1,20,51.9,50.2,58.3,37.92499999999999,Medium
3,25,7.9,1,11,53.8,52.0,31.4,10.750000000000004,Low
3,26,7.6,0,13,48.6,48.8,34.1,13.550000000000002,Low
3,27,8.5,3,15,47.2,47.8,51.0,30.400000000000002,Medium
3,28,8.2,4,5,54.4,48.8,35.8,15.299999999999999,Low
3,29,4.6,3,11,44.6,47.3,23.7,2.950000000000001,Low
3,30,8.7,1,9,44.4,50.8,36.9,16.5,Low
3,31,8.0,3,8,44.1,42.3,45.1,24.575000000000003,Low
3,32,7.5,5,12,37.8,53.8,42.6,21.850000000000005,Low
3,33,9.2,4,9,61.9,54.7,39.3,18.724999999999994,Low
3,34,8.4,5,7,51.9,46.7,44.8,24.324999999999996,Low
3,35,7.6,5,8,54.2,52.0,35.5,14.95,Low
3,36,6.9,3,4,55.6,49.6,23.1,2.6000000000000005,Low
3,37,7.8,3,5,30.0,48.0,37.9,17.299999999999997,Low
3,38,7.8,2,8,48.3,52.0,30.8,10.125,Low
3,39,8.2,1,11,69.7,46.1,34.8,14.474999999999994,Low
3,40,9.1,2,10,47.6,47.4,45.8,25.299999999999997,Low
3,41,9.6,2,8,55.9,52.3,39.2,18.725,Low
3,42,9.9,1,12,51.8,55.7,41.4,20.85,Low
3,43,7.1,3,5,43.4,50.1,28.4,7.649999999999997,Low
3,44,9.1,1,12,55.7,46.0,45.0,24.775,Low
3,45,8.3,1,10,50.7,37.2,47.9,27.425,Low
3,46,10.0,1,8,57.5,32.2,58.8,38.324999999999996,Medium
3,47,9.7,2,12,48.8,40.4,59.0,38.2,Medium
3,48,7.7,2,12,50.3,45.8,41.1,20.425000000000008,Low
3,49,10.3,2,8,45.9,48.9,49.5,28.825000000000003,Low
3,50,8.6,1,18,66.3,40.1,53.5,32.825,Medium
3,51,7.2,1,11,46.4,46.3,34.6,14.100000000000005,Low
3,52,6.7,1,10,39.0,37.3,41.2,20.650000000000006,Low
3,53,9.2,5,7,47.5,32.2,65.4,44.724999999999994,Medium
3,54,9.2,1,8,51.6,47.1,40.7,20.099999999999994,Low
3,55,9.7,5,6,36.0,41.2,60.8,40.3,Medium
3,56,8.7,1,10,28.8,37.9,54.8,34.599999999999994,Medium
3,57,7.1,4,11,43.3,43.0,45.8,25.075,Low
3,58,8.4,2,11,38.5,38.9,53.8,33.175000000000004,Medium
3,59,6.9,2,10,42.2,41.4,40.1,19.450000000000003,Low
