employee_id,day,hours_worked,meetings_count,task_switches,break_minutes,output_score,burnout_risk_score
2,15,6.9,3,3,51.2,50.6,27.8
2,16,7.1,3,9,48.5,50.9,37.2
2,17,5.2,2,7,55.7,48.8,21
2,18,8.8,5,6,53.6,51.8,46.3
2,19,9.3,3,12,69.7,53.3,46.9
2,20,7.1,4,10,53.3,63.6,27.2
2,21,8.1,2,13,42.4,49.5,49.2
2,22,7.5,3,14,50.7,52.5,44
2,23,8,3,11,42.2,58.9,39.1
2,24,7.4,3,13,57.5,54.7,38.5
2,25,9,3,8,46.4,50.3,48.7
2,26,8.7,2,7,40.2,53.5,41.4
2,27,10.6,3,19,39.2,45.7,78.9
2,28,8.6,3,11,52.3,52.3,46.9
2,29,8.4,5,10,44.8,39.7,63.4
2,30,7.4,3,5,44.4,45.4,40.6
2,31,10.1,6,6,44.8,55.6,55
2,32,6.8,1,14,43.3,53.2,36.1
2,33,9.8,2,13,55.4,51,54.4
2,34,7.9,2,9,48.3,54.2,36.2
2,35,8.5,1,15,46.6,46.2,53.6
2,36,9.1,3,8,52.3,46.1,51.7
2,37,8.6,2,8,41.8,42.4,52.6
2,38,6.9,1,12,46,46.5,40.1
2,39,8.3,2,5,56,48.3,37.3
2,40,9,5,9,53.8,47.8,55.2
2,41,10.7,4,5,37.7,57.2,52.8
2,42,8,5,7,41.6,45.8,51.9
2,43,7.7,3,11,40.9,46.1,50.2
2,44,6.5,0,2,55,42.4,23.7
2,45,8.8,3,11,68.1,45.5,50.5
2,46,5.6,4,8,31.7,36.7,48
2,47,8.5,5,11,50.2,52.4,51.7
2,48,9.3,1,10,44.3,39.1,59.7
2,49,8.1,1,16,46.5,38.2,60.4
2,50,9.9,1,12,36.7,43.9,63.2
2,51,8.2,3,6,44.1,49.3,42.7
2,52,7.2,5,8,56.8,41.4,49.1
2,53,8.6,4,11,47.7,37.4,65.1
2,54,10,2,15,56,49,60.3
2,55,7.6,4,9,43.7,41.4,53.4
2,56,6.9,0,9,44.6,39.5,40.9
2,57,7.9,2,17,58,42.2,56.7
2,58,9.3,5,8,46.6,34.8,71.2
2,59,10.2,3,7,47.1,34,70.3
2,60,7.2,4,9,24.8,38.6,58.9
2,61,9.6,2,10,60.6,41,58
2,62,10.4,3,13,43.8,33.5,81
2,63,8.3,4,13,47.9,28.3,74.8
2,64,12.1,8,9,43.6,43.7,88
2,65,11.1,1,10,46.1,43.1,66
2,66,9.6,1,9,37.3,34.6,66.6
2,67,7.7,0,12,51.3,41.7,45.7
2,68,9.2,4,10,31.2,29.2,79.9
2,69,8.1,3,17,39.9,34.7,72
2,70,8.1,3,4,36.2,32.8,57.7
2,71,9.4,5,11,39,32.1,79.8
2,72,8.7,5,12,50.7,38.8,67.6
2,73,8.6,3,10,54.9,37.3,59.7
2,74,7.2,1,8,38.8,35.4,49.6
2,75,9.5,2,7,35.5,31.7,69
2,76,8,3,9,46.8,34.2,59.8
2,77,8.7,4,12,38.9,35.3,71.1
2,78,8,1,9,20.8,34.1,61.6
2,79,6.6,2,13,41.7,35.3,54.5
2,80,8.7,4,12,37.4,31.2,75.9
2,81,9.9,4,15,49.7,30.3,84.8
2,82,8.2,2,14,31,27,76.1
2,83,8.1,3,10,22,37.6,64.7
2,84,7.5,3,13,50.8,28.3,67.1
2,85,5.8,1,8,45,35,40
2,86,9.2,3,7,56.2,30.8,65.6
2,87,7.6,6,9,42.4,29.1,70.9
2,88,8,3,13,55.3,25.6,71.7
2,89,7.4,5,6,32.5,26.2,69.2
2,90,10.9,3,10,41,28.2,86.1
2,91,8.2,2,6,53.4,31.9,55.3
2,92,8.9,2,11,58.5,22.5,73.9
2,93,8.7,8,6,37,24.2,84.9
2,94,9.4,3,13,47.1,27.6,80.1
2,95,9.2,3,5,31.9,28.2,71.5
2,96,7.9,2,9,36.8,34.6,58.6
2,97,10.1,5,11,37.1,21.6,95.4
2,98,9.3,2,10,43.5,26.4,75.3
2,99,6.6,4,15,57.6,26.4,66.9
2,100,10.3,3,8,20.8,27.7,85.2
2,101,9,4,14,44.8,23.5,86
2,102,6.5,0,6,36.1,26.2,50
2,103,7.2,1,7,32.7,29,56
2,104,9,2,7,53,16.7,76.9
2,105,7.8,4,17,43.1,28.3,78.2
2,106,6.7,3,10,46,23.8,63.9
2,107,9.1,6,13,48.2,17.8,95.4
2,108,7,7,12,40.5,26.3,77.4
2,109,9.4,3,10,32.9,22.5,84.9
2,110,8.8,3,14,31.9,18.3,91
2,111,9,6,12,47.2,14.1,97
2,112,9,3,12,36.4,14.1,92.5
2,113,7.2,1,12,50.5,20.5,66.6
2,114,6.9,2,8,29.9,22.4,65.7
2,115,10.3,3,8,35.5,12.9,96.7
2,116,8.4,4,8,53.7,28,67.8
2,117,7,0,18,46.9,26.9,65.2
2,118,9.8,3,5,38.4,22.1,79.4
2,119,10.5,2,11,45.9,23.2,86.5
2,120,8.5,3,21,39.8,19.1,95.1
2,121,8.8,3,12,37,28.4,77
2,122,10.2,3,7,33.6,15.9,92.2
2,123,7.5,1,12,33.1,16.1,77.1
2,124,8.9,7,12,33.6,18.9,97.6
2,125,9.4,3,13,37.9,11.6,98.2
2,126,9.4,5,13,36.4,17.8,97.5
2,127,8.6,1,16,24.1,15.2,92.3
2,128,10.3,2,6,43.7,12.1,90.2
2,129,8.7,2,8,40.6,31.7,64.6
2,130,10.1,4,8,44.8,16.7,91.6
2,131,9.9,4,9,22,18.7,95.3
2,132,7.5,2,5,39.9,24.7,60.3
2,133,8.3,1,7,42.3,10,79.2
2,134,9.3,1,7,39.7,17.6,78.7
2,135,6.1,4,10,50.1,16.6,69.1
2,136,9.7,2,5,42.1,10.6,87.3
2,137,8.1,3,4,28.3,24.5,68.1
2,138,9.8,2,12,41.5,15.9,91.5
2,139,8.6,3,10,48.2,19.9,78.6
2,140,8.1,2,14,42.3,13.6,86.2
2,141,8.9,1,13,33.8,10,92.8
2,142,7.8,2,9,45.3,19,71.8
2,143,9.4,1,10,29,14.6,88.8
2,144,10.4,4,12,32.2,14.6,100
2,145,8.8,8,10,37,10,100
2,146,7.9,2,9,26.9,11.5,84.4
2,147,8.9,4,12,33.9,11.9,97.5
2,148,9.3,2,12,25.5,13.8,95.1
2,149,9.9,3,12,41.9,10,100
2,150,8.6,1,14,33.2,10.3,92.3
2,151,7.2,7,11,46.7,15.5,86.5
2,152,7.7,4,9,37,10,87.3
2,153,9.1,2,11,48.7,14.4,85.9
2,154,11.1,7,9,42.8,10,100
2,155,8.5,6,11,41.6,18.1,90.1
2,156,8.1,3,10,45.1,14.7,81.7
2,157,7.8,3,9,33,10,86.5
2,158,9.1,0,13,43.6,10,89.4
2,159,7.5,2,8,61.2,15.8,68.2
2,160,10.6,1,5,27.6,10,94.4
2,161,9.5,3,15,30.1,10,100
2,162,9.3,2,16,31.2,10,100
2,163,7.9,2,6,30.8,10,81.4
2,164,9.3,3,7,30.2,10,93.6
2,165,8.2,2,8,37.7,10,83.8
2,166,8.6,3,10,24.8,10,94.3
2,167,7.7,3,9,35.9,10,85.3
2,168,10.7,8,7,35.6,12.5,100
2,169,10.3,3,9,35.4,10,100
2,170,8.4,4,11,19.1,10,98.6
2,171,7.7,2,7,39,10,79.2
2,172,9.8,4,13,36.6,10,100
2,173,9.3,2,7,39.3,10,88.5
2,174,10.3,3,5,28,10,97.2
2,175,9.1,3,10,33.9,10,95.5
2,176,10.5,2,7,54.6,10,91.8
2,177,8.8,1,9,42.3,10,85.2
2,178,8.4,0,12,23,10,89.1
2,179,8.3,3,13,26,10,96.4
2,180,11,2,10,29.4,10,100
3,1,8.1,4,14,51.9,54.9,41.5
3,2,6.8,1,12,41.1,52.9,28.3
3,3,7.9,4,9,43.4,60.6,30
3,4,6.6,3,7,59.3,62.6,11.5
3,5,8.6,3,12,61.8,63,28.6
3,6,7.7,4,7,42.8,48.6,38.7
3,7,8.3,2,11,63.1,62.2,23.6
3,8,8.2,6,15,53.1,59.9,42.8
3,9,8.3,3,4,42,59.1,25.1
3,10,10.5,1,11,48.6,58.9,41.4
3,11,7.5,1,10,47.9,49.3,31.9
3,12,8.8,5,9,40.4,52.8,46.8
3,13,8,3,9,42.1,57.7,31.3
3,14,7.8,3,9,50.1,55.6,30.6
3,15,10.1,1,16,52.7,53.9,49.5
3,16,7.3,5,7,40.1,45.7,42.2
3,17,9.5,1,7,58.9,48.3,37.8
3,18,7.7,4,18,50.3,57.5,42.2
3,19,6.6,6,14,62,52.5,37
3,20,9.5,4,10,33.8,57.1,46.8
3,21,8,6,12,51.6,55.2,42.8
3,22,6.7,2,9,45.8,46.6,31.4
3,23,8.6,1,5,50.1,57.6,22.8
3,24,10.1,1,20,51.9,50.2,58.3
3,25,7.9,1,11,53.8,52,31.4
3,26,7.6,0,13,48.6,48.8,34.1
3,27,8.5,3,15,47.2,47.8,51
3,28,8.2,4,5,54.4,48.8,35.8
3,29,4.6,3,11,44.6,47.3,23.7
3,30,8.7,1,9,44.4,50.8,36.9
3,31,8,3,8,44.1,42.3,45.1
3,32,7.5,5,12,37.8,53.8,42.6
3,33,9.2,4,9,61.9,54.7,39.3
3,34,8.4,5,7,51.9,46.7,44.8
3,35,7.6,5,8,54.2,52,35.5
3,36,6.9,3,4,55.6,49.6,23.1
3,37,7.8,3,5,30,48,37.9
3,38,7.8,2,8,48.3,52,30.8
3,39,8.2,1,11,69.7,46.1,34.8
3,40,9.1,2,10,47.6,47.4,45.8
3,41,9.6,2,8,55.9,52.3,39.2
3,42,9.9,1,12,51.8,55.7,41.4
3,43,7.1,3,5,43.4,50.1,28.4
3,44,9.1,1,12,55.7,46,45
3,45,8.3,1,10,50.7,37.2,47.9
3,46,10,1,8,57.5,32.2,58.8
3,47,9.7,2,12,48.8,40.4,59
3,48,7.7,2,12,50.3,45.8,41.1
3,49,10.3,2,8,45.9,48.9,49.5
3,50,8.6,1,18,66.3,40.1,53.5
3,51,7.2,1,11,46.4,46.3,34.6
3,52,6.7,1,10,39,37.3,41.2
3,53,9.2,5,7,47.5,32.2,65.4
3,54,9.2,1,8,51.6,47.1,40.7
3,55,9.7,5,6,36,41.2,60.8
3,56,8.7,1,10,28.8,37.9,54.8
3,57,7.1,4,11,43.3,43,45.8
3,58,8.4,2,11,38.5,38.9,53.8
3,59,6.9,2,10,42.2,41.4,40.1
3,60,9.5,3,9,44.4,39.6,58
3,61,10.6,3,13,33.8,51,61.2
3,62,7.8,4,10,46.3,41.7,49
3,63,9.9,1,13,44.1,38.1,62.4
3,64,7,2,9,39.8,38.3,43
3,65,8.8,5,13,47.9,40.9,61.8
3,66,8.2,3,11,45.7,34.9,57
3,67,8.5,2,9,57.1,35.1,50.6
3,68,7.7,1,9,25.3,35.6,50.6
3,69,8.1,1,4,45.8,42.1,35.1
3,70,8.5,2,5,45.6,30,53.8
3,71,7.8,3,6,45.1,36.6,46.8
3,72,7.1,5,9,53.2,42.9,42.7
3,73,8,1,8,23.1,43.3,44.1
3,74,9.1,2,5,48.8,40.5,46
3,75,6.7,2,8,64.9,35.2,36.3
3,76,8.4,2,21,38.9,40.1,65.4
3,77,7.7,4,12,56.4,40.7,49.3
3,78,5.7,3,12,38.8,28.1,51.9
3,79,8.1,4,10,60,26.7,62.5
3,80,8.8,1,9,30.4,35.5,56.2
3,81,9.1,4,8,57.5,34.7,58.4
3,82,11.4,1,10,48.3,33.3,70.9
3,83,8.2,2,9,32.7,32.1,58.3
3,84,8.4,0,14,44.8,36.5,53.6
3,85,8,4,7,53.4,34.3,52.1
3,86,6.2,3,5,30.9,31.8,44.1
3,87,7.5,1,11,30.2,30.5,56.4
3,88,9.6,6,14,45.4,29.5,82.4
3,89,7.4,3,7,36.8,26.4,57.9
3,90,9.7,5,9,52.1,34.5,67.4
3,91,6.8,3,12,45.2,22,62.9
3,92,7.7,4,9,42.1,25.7,63.9
3,93,8.1,6,6,38.6,29.7,64.3
3,94,8.9,4,8,41.1,30.4,65.4
3,95,9.9,4,12,48.3,22.6,82.6
3,96,9.4,2,12,39.2,33.2,66.5
3,97,8.8,3,11,39.2,29.6,68
3,98,8.9,3,12,44.7,30.4,67.4
3,99,8.2,1,11,34.3,32,57.8
3,100,7.6,2,9,43.9,16,67.6
3,101,9.7,2,11,40.3,33.3,66.4
3,102,8,3,10,42.2,34.3,56.2
3,103,9.5,4,7,28,22.1,79.7
3,104,9.1,1,9,23.9,26.2,69
3,105,10.2,2,3,29.5,24.5,70.7
3,106,7.9,4,13,43,24.8,71.5
3,107,7.3,0,9,51.5,21.7,53.5
3,108,9.7,1,8,42.9,17.4,75.6
3,109,7.7,4,4,27.6,18.5,68.5
3,110,7.1,2,11,44.7,21,62.1
3,111,7.5,3,14,41.4,30.8,62.2
3,112,8.6,5,8,48.1,11.5,83.4
3,113,9.1,2,11,33.6,18.1,79.9
3,114,8.6,2,17,45,21.3,78.8
3,115,9,2,13,36,15.8,83.6
3,116,9.1,6,8,29.1,27.9,77.3
3,117,8.9,2,7,31.6,25.9,66.1
3,118,6.9,4,10,37.5,24.7,62.7
3,119,7.2,1,7,49.3,17.7,57.3
3,120,8.2,1,10,43.8,18.9,67.4
3,121,9.3,4,8,33.5,16,84.6
3,122,10,4,7,45.8,15.2,84.8
3,123,8.4,4,15,46,22.5,78.3
3,124,9.3,3,11,43.1,20.6,78.5
3,125,7.9,4,11,38.5,19.8,74.7
3,126,10.5,2,10,38.8,20.7,83.1
3,127,9.7,3,6,38.9,22.5,73.8
3,128,9.1,3,12,39.8,19.3,81.1
3,129,10.1,2,8,28.6,10,91.2
3,130,10.4,4,7,43.3,12.5,90.6
3,131,11.2,1,12,43.6,16.6,90.4
3,132,9.5,1,12,41.5,10,87.3
3,133,11,2,15,49.2,10,100
3,134,9.1,5,10,34.7,17.9,85.8
3,135,8.5,3,15,32.1,20.9,81.3
3,136,7.6,0,10,51.8,16.5,61.6
3,137,7.6,4,9,38.3,10.8,79.3
3,138,7.9,2,11,37.9,11.1,78.6
3,139,8.1,1,9,44,10,74
3,140,9.6,1,9,51.1,17.3,74
3,141,9.7,3,15,26.9,10,100
3,142,9,4,9,40,10,88.2
3,143,8.8,3,14,43.8,13.6,86.4
3,144,9.6,1,8,36.7,20.1,73.8
3,145,9.3,0,8,27.3,10,82
3,146,8.3,3,9,44.7,11.7,78.5
3,147,10,5,16,34.7,17.2,100
3,148,7.4,5,9,48.5,15.1,74
3,149,8.6,5,8,39.5,18.1,79
3,150,6.8,3,8,33.9,10,73
3,151,8,3,12,36.3,10,84.2
3,152,10.7,1,12,36.4,10,95.5
3,153,8.6,7,12,40,10,97.3
3,154,10.1,1,9,41.4,10,86.6
3,155,7.9,5,7,37.8,13.3,78.9
3,156,7.9,2,10,36.2,12.9,75.6
3,157,7.5,1,6,44.8,10,66.8
3,158,11,0,13,40,10,95.6
3,159,10.3,4,18,17.3,10,100
3,160,8.3,3,8,30.3,10,82.5
3,161,8.5,2,5,27.2,10.3,77.7
3,162,6.5,1,5,36.9,10,61.3
3,163,11,5,14,32.6,10,100
3,164,9.4,5,13,23.8,10,100
3,165,10.5,5,7,33.5,10,98.5
3,166,11.4,4,11,30.1,10,100
3,167,6,4,8,28.9,10,71.9
3,168,9.9,1,3,25.1,10,81.8
3,169,6.3,3,9,35.1,10,70.9
3,170,9.9,2,4,29.2,10,85
3,171,8.6,1,17,45.4,10,87.4
3,172,7.4,2,8,32.3,10,74.4
3,173,7.6,5,4,41.2,10,75.6
3,174,6.7,5,4,35.3,10,71.5
3,175,10.3,4,12,26.8,10,100
3,176,10.7,4,10,42.9,10,99.1
3,177,11.1,1,7,43.5,10,90
3,178,8.1,2,10,30.3,10,81.7
3,179,9.6,3,11,39.7,10,91.9
3,180,5.8,0,11,21.1,10,66.5
4,1,8.5,2,10,43.7,61.1,37
4,2,7.1,3,5,45,57.3,28.1
4,3,7.2,4,12,38.3,52,47.3
4,4,9.5,4,12,53.6,64,45.3
4,5,7,4,9,52.4,56.5,34.1
4,6,10.2,1,11,43.5,58.2,49.4
4,7,8,5,8,51.3,56.1,41.9
4,8,8.2,5,7,51.8,49.4,48.4
4,9,7.8,2,13,58.7,54.5,39.6
4,10,7.4,1,11,59.3,58.1,28.7
4,11,6.7,2,12,38.4,64.1,27
4,12,8.7,2,6,55.8,58.1,33
4,13,8.2,1,13,52,62.1,33.6
4,14,8.7,2,8,50.4,54.9,40.3
4,15,8.2,2,7,45.1,57.1,34.9
4,16,7.4,3,7,55.5,63.1,24.1
4,17,7.1,4,8,57.2,55.9,33
4,18,7.9,2,12,43.8,49.3,47.7
4,19,7.9,2,11,41.1,60.4,36
4,20,6.6,4,15,52.3,48.9,47.1
4,21,9,3,11,43.1,43.9,61.2
4,22,7.4,6,4,50,56.3,35.9
4,23,7,1,9,55.1,53.7,28.6
4,24,7.7,3,5,46,54.2,35
4,25,7.3,5,6,41.2,50.2,43.7
4,26,7.5,2,11,43.3,55.5,38.3
4,27,8.4,6,9,39.9,50,57.1
4,28,7.4,6,14,60.7,57.2,45.3
4,29,6.8,1,14,45.6,53.8,36.7
4,30,7.1,2,14,43,52.1,43.3
4,31,6.7,1,9,65.6,58,20.4
4,32,7.7,3,7,44.9,55.3,36.1
4,33,8.9,3,11,44.1,49,55.2
4,34,8.4,6,10,34.2,47.5,62.3
4,35,7.9,4,9,52.1,43.8,52.2
4,36,10.7,2,9,41.9,56.3,54.2
4,37,7.1,4,19,47.2,41.4,64.5
4,38,9.1,5,8,54,53,50.9
4,39,7.4,2,18,40.8,51.8,50.8
4,40,8.8,1,13,47.7,44.3,56.2
4,41,7,6,7,35,44,53.5
4,42,9.1,1,6,61.5,50.9,38.9
4,43,8.2,3,10,44.2,41.7,57.4
4,44,8.2,4,11,48.7,50.1,51.4
4,45,7.3,6,13,46.5,55,49
4,46,10.6,1,5,50.8,42.8,57.5
4,47,8.7,2,13,40.8,38,66
4,48,9,4,6,50,39.8,59.8
4,49,7.7,6,14,48,38.2,69.6
4,50,4.4,4,11,45.3,50.6,29
4,51,7.4,3,10,43.3,42.7,51.2
4,52,8.1,3,18,38.8,38.6,71.2
4,53,10.1,2,9,43.5,46.1,60.7
4,54,5.9,2,14,42.8,46.3,42
4,55,7.1,2,10,54.7,41.4,45.9
4,56,8.5,6,12,45.7,48.8,61.8
4,57,7.3,3,4,41.5,40,46.2
4,58,7.2,5,6,63.9,39.5,48.3
4,59,8.4,1,4,50,36.9,48.8
4,60,8.8,2,7,44.4,31.6,64.2
4,61,8.5,1,10,44.6,33.4,62.1
4,62,8.6,2,7,49.5,42.4,50.9
4,63,7.4,4,12,41.4,42.2,57.6
4,64,7.7,1,12,46.5,41.8,51.1
4,65,7.3,1,10,34.8,29.9,60.9
4,66,7,3,9,49.7,42.6,46.1
4,67,7.7,2,9,35.2,38.2,56.1
4,68,9.3,3,11,45.1,32.8,73.9
4,69,9.4,4,10,50.7,42.5,64.1
